Casilla,Visitas_esperadas
C1,1.0
C2,0.0
C3,0.2
C4,0.24000000000000002
C5,0.28800000000000003
C6,0.0
C7,0.14560000000000003
C8,0.17472000000000004
C9,0.169664
C10,0.6944095106922356
C11,0.7796946892508245
C12,0.4421709099967882
C13,0.0
C14,0.4518020616629196
C15,1.1825750898145462
C16,0.0
C17,0.8984663247672741
C18,0.0
C19,0.0
C20,0.44845229835965145
C21,0.2627616580466799
C22,0.8050742809281378
C23,0.0
C24,0.6736769567791512
C25,0.83577165495824
C26,0.5402762194546991
C27,0.5957791317363028
C28,0.5291007925856787
C29,0.6349209511028144
C30,1.1659824606597824
C31,0.6543458290858625
C32,0.6771597510120954
C33,0.693435874867254
C34,0.7263028913235693
C35,0.7445792793677201
C36,0.0
C37,1.1734660915106023
C38,0.6427375181015718
C39,0.6325978467484351
C40,0.0
C41,0.0
C42,0.4897602912721219
C43,0.8397651928873453
C44,0.36443249308533565
C45,0.37295930682325884
C46,0.0
C47,0.7459186136465179
C48,1.1979810525297625
C49,0.0
